epoch,cos_distmet_2D_angular,cosine_proximity,loss,mse,val_cos_distmet_2D_angular,val_cosine_proximity,val_loss,val_mse
0,0.16984978,0.76064014,0.1698497733162842,0.29523358,0.12824512,0.8710835,0.12824508916530425,0.37136668
1,0.07469655,0.9287081,0.07469660884389251,0.1688003,0.097712904,0.91868883,0.09771292927292967,0.30597296
2,0.060946006,0.9453909,0.06094599126052363,0.14997566,0.14469072,0.8002794,0.14469070602591635,0.27220708
3,0.05602661,0.9521647,0.05602661627186538,0.12766665,0.071672894,0.94358325,0.07167289103745433,0.23854913
4,0.04199384,0.9700093,0.04199384702281702,0.12032045,0.066908725,0.94810784,0.06690872365555155,0.17704405
5,0.03940287,0.9732071,0.039402848172561254,0.10898644,0.060027085,0.95418614,0.06002708114836932,0.19161063
6,0.038900252,0.97249436,0.03890024775974783,0.09935494,0.05965319,0.96113175,0.05965318640257106,0.16893803
7,0.04074183,0.9687821,0.04074184058372809,0.0886194,0.051512778,0.96738523,0.051512786551839856,0.18455422
8,0.031835306,0.9804679,0.03183531557331185,0.09660892,0.051790316,0.9686571,0.05179032038064323,0.20256338
9,0.037587214,0.97044593,0.03758722216810861,0.093224466,0.099373266,0.88852423,0.09937324967894534,0.21210665
10,0.04551502,0.9643751,0.045515031919184976,0.09041692,0.05704217,0.9639265,0.05704217349755257,0.1467303
11,0.030246112,0.982361,0.03024611846185805,0.07806338,0.05312156,0.96738756,0.053121574914954166,0.16124663
12,0.030018268,0.9821369,0.030018270867104232,0.07899845,0.047964662,0.973432,0.04796464886766729,0.14172155
13,0.026333192,0.98614544,0.02633320969330082,0.078277715,0.04425117,0.9729157,0.04425115979931973,0.16273086
14,0.029237112,0.9823377,0.029237123027790583,0.07954012,0.04643495,0.9703769,0.04643494893575729,0.16505395
15,0.02741926,0.9839918,0.027419273116481416,0.07446841,0.045623977,0.9769553,0.04562395930658152,0.15025923
16,0.023624955,0.988745,0.02362495133262737,0.07697943,0.0375332,0.98172283,0.03753319604140904,0.15052517
17,0.025173843,0.9867127,0.025173844358917667,0.08116157,0.0425529,0.9778058,0.04255290252497657,0.15593532
18,0.025260068,0.98621297,0.02526007175515169,0.081145905,0.04504248,0.97337025,0.04504247779749712,0.15931912
19,0.025043199,0.9864873,0.025043197653370756,0.07283504,0.045115132,0.9692436,0.04511514107181866,0.14411998
20,0.022981718,0.9888641,0.022981723380464714,0.07447346,0.041477438,0.9772969,0.041477439464651183,0.15438311
21,0.026236642,0.98467547,0.026236640711366076,0.07554914,0.03639433,0.9816541,0.036394331364065856,0.13562688
22,0.02392112,0.9874931,0.023921119794795515,0.07218077,0.0405612,0.9789908,0.040561200487229394,0.138767
23,0.022732725,0.98857754,0.022732727957113633,0.076922536,0.04052296,0.9763767,0.040522959475777276,0.1730429
24,0.024684869,0.98664945,0.02468486015684135,0.076981604,0.034890104,0.98325235,0.03489009377090529,0.16142538
25,0.025590757,0.9849933,0.025590755878118893,0.07219071,0.03975715,0.9747741,0.03975714919437106,0.119993776
26,0.025310991,0.9855573,0.02531098545326509,0.06628034,0.03697006,0.9786555,0.03697006049347513,0.14153588
