epoch,cos_distmet_2D_angular,cosine_proximity,loss,mse,val_cos_distmet_2D_angular,val_cosine_proximity,val_loss,val_mse
0,0.22592369,0.6281836,0.22592381241967568,0.48959112,0.08798842,0.9140708,0.08798840708816003,0.22274868
1,0.06052681,0.9466699,0.06052679521779585,0.13908976,0.05976163,0.9582317,0.05976162572660891,0.20966467
2,0.04671739,0.96349907,0.04671739355948553,0.12558517,0.05393397,0.9609433,0.05393397094086528,0.1929964
3,0.041744817,0.9680962,0.04174480854501281,0.11581231,0.051406145,0.9647212,0.0514061354724141,0.19567321
4,0.040606987,0.968377,0.04060700990166148,0.10469354,0.060558334,0.94891745,0.06055833341551252,0.18396431
5,0.03226594,0.97935945,0.032265934366669705,0.09877574,0.045578465,0.97216016,0.045578463386810694,0.19243611
6,0.030316118,0.9805604,0.030316106051519163,0.10515921,0.043029077,0.9757333,0.04302906378572206,0.17147738
7,0.030460702,0.98023987,0.030460689358636387,0.09603064,0.037446313,0.9781894,0.0374463112214874,0.14571257
8,0.029722236,0.9811082,0.029722227881735657,0.09555466,0.04497266,0.96545374,0.044972647332033176,0.18345192
9,0.03176291,0.9785844,0.031762922001652656,0.083739854,0.068926975,0.9244334,0.06892698018598295,0.17636225
10,0.028244747,0.98248833,0.028244737441192304,0.08305947,0.043102276,0.9711363,0.04310227392141711,0.16905005
11,0.029678643,0.9799281,0.02967863460939408,0.09016916,0.04059996,0.9762285,0.040599960654933105,0.11678863
12,0.02551585,0.9861458,0.02551586011262061,0.08252537,0.044966295,0.96791023,0.04496629170266035,0.16423385
13,0.024382854,0.9862664,0.024382854561805396,0.083676085,0.04103397,0.975373,0.041033964818765103,0.16081077
14,0.023321083,0.9878116,0.023321084138335266,0.08639433,0.038331397,0.97735655,0.03833139077115124,0.14050074
15,0.029933155,0.9803156,0.029933146323322474,0.09160939,0.04667697,0.9691434,0.04667697962378605,0.14198588
16,0.030374575,0.980498,0.03037456594106587,0.06953887,0.04430852,0.9701462,0.044308523565980466,0.11481836
17,0.026792726,0.9839197,0.026792725499009948,0.07140377,0.038936544,0.9771293,0.03893654841229585,0.11543074
