epoch,cos_distmet_2D_angular,cosine_proximity,loss,mse,val_cos_distmet_2D_angular,val_cosine_proximity,val_loss,val_mse
0,0.19738905,0.7166261,0.22256780901490916,0.22256774,0.13966814,0.82486725,0.142870530416609,0.14287047
1,0.10360717,0.88319445,0.09882915652779921,0.09882917,0.086582996,0.9024781,0.08423322508282785,0.0842332
2,0.0814803,0.9189428,0.07039587930482288,0.070395835,0.074909694,0.9297074,0.06160710062346177,0.061607108
3,0.06697258,0.940607,0.052339236195620364,0.05233924,0.05707767,0.9528336,0.04154773103724782,0.04154773
4,0.06300584,0.9447519,0.0484638042004759,0.0484638,0.053065173,0.9582574,0.03695744052427132,0.036957435
5,0.05561601,0.95592755,0.039116655694698035,0.039116655,0.063196756,0.9454126,0.04857378180441543,0.04857379
6,0.054938722,0.95624024,0.03847348349477887,0.038473494,0.056426175,0.94845974,0.043963221722730886,0.043963224
7,0.05109484,0.9606281,0.03481249784381242,0.03481249,0.073788874,0.91257024,0.0769660755256076,0.07696608
8,0.04687025,0.96609,0.03006608097458198,0.03006609,0.04754443,0.963806,0.031526548547775,0.031526547
9,0.04815088,0.96380717,0.03162575362911698,0.031625748,0.06598529,0.9403892,0.05192677827120154,0.05192677
10,0.051382337,0.9603183,0.035027261571411825,0.035027254,0.05091355,0.9589233,0.03563772474092384,0.035637733
11,0.047928486,0.964095,0.03149567278167046,0.031495683,0.049104538,0.9660177,0.03027436108838138,0.030274354
12,0.043892723,0.9692398,0.027156273233914556,0.027156262,0.058391474,0.955246,0.03932014724395566,0.039320152
13,0.046281368,0.96602356,0.02969084076618874,0.02969084,0.040269572,0.9707095,0.025525611215903434,0.025525616
14,0.04127723,0.97172594,0.02484401548055242,0.024844017,0.038291022,0.9752271,0.02225614871385166,0.022256149
15,0.041844524,0.97000474,0.026222646178878498,0.026222654,0.036955737,0.97519314,0.022122898262469368,0.022122893
16,0.038903747,0.97390413,0.023100208282249582,0.023100205,0.040750638,0.9729472,0.023963482722905764,0.023963487
17,0.037404597,0.97619647,0.02110360207965498,0.021103607,0.040663976,0.96590227,0.028350159442576035,0.02835016
18,0.038081624,0.9751146,0.022151262183022172,0.02215126,0.04697118,0.9621659,0.03321750472071076,0.033217505
19,0.03791815,0.97532177,0.02181333168807733,0.021813335,0.044171102,0.96579194,0.02956624818641299,0.029566249
20,0.03418994,0.9785098,0.01907596657791586,0.019075973,0.039253976,0.97335887,0.023084003442517688,0.023084007
21,0.036693994,0.9761842,0.020928666212795537,0.02092867,0.03660956,0.974178,0.023020986633168327,0.023020986
22,0.03275726,0.98043734,0.01756663829292271,0.01756663,0.04135736,0.96813333,0.027353996346067173,0.027353996
23,0.034337845,0.9782873,0.01919114103547091,0.019191137,0.03913681,0.9697888,0.025824915424030176,0.025824914
