epoch,cos_distmet_2D_angular,cosine_proximity,loss,mse,val_cos_distmet_2D_angular,val_cosine_proximity,val_loss,val_mse
0,0.3191184,0.4202948,0.319118559103211,0.81094044,0.12879857,0.8569694,0.12879856642545168,0.26512492
1,0.079438716,0.9214799,0.0794387040466133,0.16770066,0.07943809,0.93150324,0.07943809508500603,0.25590745
2,0.053239178,0.9561216,0.05323918872731525,0.13601302,0.08839391,0.90591335,0.088393918842854,0.2456376
3,0.046082128,0.9648128,0.046082117722316074,0.12701967,0.059862472,0.9523607,0.05986247681622969,0.15372883
4,0.03835974,0.9736143,0.03835974081639592,0.113216214,0.05122867,0.9646673,0.051228671028331146,0.2203829
5,0.034941066,0.97604054,0.03494106846050846,0.12654419,0.049338136,0.9657821,0.04933812552437043,0.21041012
6,0.03612172,0.974266,0.036121722615506606,0.10697528,0.061526388,0.94696844,0.06152638325107441,0.17069457
7,0.03817959,0.97148806,0.03817958451327719,0.104042776,0.055578563,0.9541046,0.05557856532771892,0.14452714
8,0.033355672,0.97740316,0.033355665513886475,0.09635363,0.07782198,0.92320776,0.0778219597820392,0.15071973
9,0.032612193,0.9782877,0.03261218508801896,0.08377632,0.040623788,0.9783852,0.04062378973852133,0.16752365
10,0.031229459,0.97964907,0.031229461012381693,0.09424875,0.043634415,0.9727147,0.04363441441734468,0.16441865
11,0.02721848,0.9847312,0.02721848647321134,0.09116691,0.037258253,0.97821075,0.037258258398586507,0.15584005
12,0.039670184,0.96725047,0.03967019348222142,0.089396514,0.042927843,0.971002,0.04292783810155382,0.10916403
13,0.031630192,0.9794191,0.03163019570594438,0.07596603,0.038030416,0.975818,0.03803040328830358,0.12869276
14,0.025483206,0.9868435,0.025483205376707,0.085984014,0.04534625,0.96468425,0.0453462455416576,0.124498755
15,0.025996864,0.98627526,0.025996866134444338,0.080149926,0.035629623,0.9787352,0.035629613411872145,0.15345448
16,0.025649747,0.98606145,0.02564974670965773,0.084154814,0.036756244,0.9793427,0.03675624436465065,0.13696747
17,0.05379442,0.9457085,0.05379442060757843,0.10513628,0.097773604,0.8804078,0.09777361092417002,0.14321451
18,0.045156263,0.9627712,0.045156224883886015,0.07427756,0.05266014,0.9557592,0.05266013361094583,0.10466815
19,0.03226516,0.97932214,0.032265175361549,0.06941688,0.059746135,0.9437698,0.05974615013484929,0.1775267
