epoch,cos_distmet_2D_angular,cosine_proximity,loss,mse,val_cos_distmet_2D_angular,val_cosine_proximity,val_loss,val_mse
0,0.17856485,0.7936879,0.3314987160158041,0.3314987,0.1553343,0.84937966,0.28050048807834055,0.2805005
1,0.14976583,0.85837865,0.26630435119938445,0.26630437,0.15121166,0.85728884,0.26867638179596437,0.2686764
2,0.1464689,0.86383593,0.2552716689922509,0.25527167,0.1508906,0.85604626,0.25566386161966526,0.25566384
3,0.144012,0.8661166,0.24525444276662273,0.24525447,0.14481384,0.86424303,0.2328373206422684,0.2328373
4,0.1350051,0.87891126,0.2170572704818355,0.21705729,0.15056379,0.84123546,0.18968762711007545,0.18968765
5,0.1034819,0.9173395,0.11027230570052728,0.11027229,0.11410677,0.8968739,0.16137231442522496,0.16137233
6,0.076127686,0.9504622,0.0612580244916655,0.061258025,0.09227559,0.9314678,0.1371944954103612,0.1371945
7,0.06800817,0.95796007,0.0496058307669067,0.049605835,0.094549604,0.92636937,0.1491215685580639,0.14912157
8,0.06391249,0.9616951,0.04654496235999756,0.04654497,0.09237225,0.924528,0.13325981906753906,0.1332598
9,0.060628127,0.9661686,0.04266600185221594,0.042666003,0.09540626,0.92706656,0.1353519598537303,0.13535196
10,0.057944916,0.96885026,0.038977828983487645,0.03897784,0.10730159,0.9085971,0.142695315816301,0.14269532
11,0.05495006,0.9714725,0.03670041115463348,0.036700405,0.098023586,0.922216,0.1283503288918353,0.12835033
12,0.05332871,0.9729652,0.03419057651775907,0.034190573,0.096633285,0.9233818,0.12833017729064253,0.12833017
13,0.05392977,0.97277653,0.0350849774370148,0.03508498,0.10298474,0.9158841,0.1397565095982653,0.13975652
14,0.051939227,0.9746159,0.033095752351509806,0.03309576,0.095479086,0.92558086,0.12312265897684908,0.12312266
15,0.05078291,0.97558206,0.03175885455770037,0.031758852,0.08708583,0.9335526,0.10841864537685475,0.10841865
16,0.050435882,0.9753323,0.03203029563061002,0.032030288,0.091034725,0.93061846,0.11521373578208557,0.11521374
17,0.048480723,0.9773492,0.029817278607837058,0.029817278,0.085006006,0.93830264,0.11301146653738428,0.113011464
18,0.04874751,0.97709095,0.030015247570956777,0.030015249,0.0754908,0.9512677,0.10036350992765833,0.10036351
19,0.0488175,0.9774334,0.029828954337672454,0.029828949,0.08786755,0.93818647,0.11982413476451914,0.119824134
20,0.048477847,0.97702914,0.030054961587927195,0.030054966,0.08563969,0.93842065,0.09192198625904449,0.09192198
21,0.04728995,0.9786319,0.0286045659570584,0.028604565,0.08247804,0.941058,0.09764148310777988,0.09764149
22,0.04568332,0.97967964,0.027278805186694836,0.027278805,0.090561904,0.93248546,0.1027284786105156,0.10272848
23,0.048413385,0.97721237,0.028959384407822506,0.028959392,0.08773512,0.9354971,0.09873799377299369,0.098738
24,0.045657277,0.9801079,0.026692584300334,0.026692588,0.07931786,0.9461414,0.0915813130584169,0.091581315
25,0.04363053,0.98176074,0.025046088046008663,0.025046088,0.08919293,0.9328968,0.0941714809295979,0.09417147
26,0.04539313,0.98045015,0.02632350110411512,0.026323505,0.088898525,0.9324455,0.09290168069778605,0.09290168
27,0.044324588,0.9807583,0.025553981514131647,0.02555398,0.08270862,0.94203013,0.09969723145378397,0.09969723
28,0.045358673,0.9803453,0.02687805287505259,0.026878055,0.086177886,0.9356592,0.09243862108981356,0.09243862
29,0.043600388,0.9814815,0.025297017339232834,0.025297016,0.08358648,0.9411161,0.10050104764547754,0.10050105
30,0.04202419,0.9826532,0.023623623770993574,0.023623625,0.081404716,0.94305956,0.09102611465657011,0.09102612
