epoch,cos_distmet_2D_angular,cosine_proximity,loss,mse,val_cos_distmet_2D_angular,val_cosine_proximity,val_loss,val_mse
0,0.11905393,0.86004966,0.12286110251378946,0.12286121,0.08214442,0.9304088,0.07904496827611217,0.07904498
1,0.051706403,0.9636057,0.03717526777074925,0.03717527,0.06389141,0.9615141,0.05118562134981809,0.051185615
2,0.042473044,0.97372943,0.027270572945397777,0.027270574,0.04687605,0.9779588,0.03690745413242054,0.03690746
3,0.035611454,0.9815277,0.02058537997070963,0.020585379,0.043699507,0.98118985,0.031154917155498504,0.031154916
4,0.03352508,0.98297906,0.018679459262535208,0.01867946,0.055360787,0.96382135,0.041818978033438634,0.041818988
5,0.032070946,0.9840872,0.01745291633456891,0.017452909,0.04900891,0.97474855,0.037394430859344,0.03739443
6,0.03004322,0.9866532,0.01538312083163617,0.015383115,0.04811829,0.9742581,0.037507988486965335,0.03750799
7,0.028514188,0.9884304,0.013861127930038238,0.013861126,0.039859373,0.98343074,0.02693750422412149,0.026937503
8,0.026983472,0.9891351,0.012760003463759181,0.012760004,0.047386415,0.9770677,0.03216189205115061,0.032161888
9,0.02411713,0.992039,0.010219730698915,0.010219728,0.043807767,0.98002744,0.03201956966449858,0.032019574
10,0.023919603,0.9921672,0.009876104328944136,0.009876101,0.03860816,0.98474723,0.023611956669735645,0.023611961
11,0.023899244,0.9924372,0.009884523825573732,0.009884522,0.04066279,0.98343515,0.027914031382920975,0.02791403
12,0.023724806,0.9921229,0.009880839085641979,0.009880839,0.040988646,0.98249537,0.036925082294007226,0.03692509
13,0.023079926,0.9929751,0.009165080821963472,0.00916508,0.04165748,0.9783817,0.033573186187014825,0.033573184
14,0.023148837,0.9927625,0.00938544146578564,0.009385447,0.038569637,0.98578316,0.027657451864909408,0.02765745
15,0.023634026,0.99252045,0.009447979578625329,0.00944798,0.04282365,0.9777106,0.030432430239821003,0.030432427
16,0.02246153,0.99303174,0.008805498387084453,0.008805496,0.032427374,0.9875714,0.02124249033798529,0.021242494
17,0.023002222,0.9927316,0.009118719567051925,0.009118718,0.036094278,0.98517686,0.02899807970485406,0.028998066
18,0.021001093,0.9944005,0.0076648036144783705,0.007664805,0.036467806,0.98296946,0.027666781144663793,0.027666776
19,0.02223686,0.99338526,0.00863309626055823,0.008633097,0.033575572,0.9881728,0.02453224328748974,0.024532245
20,0.021475695,0.9939309,0.008050758802895281,0.00805076,0.034210015,0.9878397,0.025495402614071207,0.025495408
