epoch,cos_distmet_2D_angular,cosine_proximity,loss,mean_squared_error,val_cos_distmet_2D_angular,val_cosine_proximity,val_loss,val_mean_squared_error
0,0.15935339,-0.7866417,0.15935335206829324,0.25884938,0.10613177,-0.90467244,0.10613175198865035,0.30523974
1,0.07056983,-0.93784815,0.07056982443726215,0.14665695,0.079101495,-0.93909734,0.07910151246357684,0.21302728
2,0.055835992,-0.956244,0.055835980883082635,0.12687473,0.072209954,-0.9463889,0.07220995915729159,0.24013071
3,0.04875594,-0.9641366,0.048755932822134224,0.12260312,0.06872681,-0.9516098,0.06872681662011049,0.23417786
4,0.09520292,-0.8912897,0.0952029370213042,0.15619789,0.081358604,-0.9258452,0.08135860122239476,0.17753525
5,0.05557887,-0.9539756,0.0555788653719209,0.10046587,0.09494622,-0.9157076,0.09494622040064737,0.20786138
6,0.04933045,-0.9619285,0.04933044891792513,0.09355981,0.08846077,-0.91888475,0.08846078631563932,0.18868834
7,0.04511321,-0.96798027,0.04511321381552049,0.086200945,0.077781,-0.9406845,0.07778100157757027,0.16989681
8,0.04200913,-0.9709532,0.042009149872812804,0.07773809,0.06716766,-0.953247,0.06716765769347242,0.14814028
9,0.039147872,-0.97424644,0.03914789116342606,0.06905017,0.076729424,-0.9347602,0.07672943159099796,0.17231594
10,0.03499406,-0.97939557,0.03499404621786814,0.07274154,0.061194725,-0.9599774,0.061194728307722365,0.15593213
11,0.046875585,-0.96326786,0.04687560048185339,0.07579268,0.069709085,-0.94892824,0.06970908021444483,0.1567383
12,0.047158007,-0.96308565,0.047157997838566564,0.07464439,0.07747276,-0.93609947,0.07747276569671918,0.15628967
13,0.0378319,-0.975519,0.03783190521953568,0.065914646,0.06576132,-0.9511128,0.06576131915236696,0.14719512
14,0.034548447,-0.97883445,0.03454843599762499,0.061576772,0.062803544,-0.9578546,0.06280354036552262,0.14124492
15,0.03449263,-0.9788125,0.034492648874879635,0.061039533,0.06324012,-0.95301855,0.06324011715964525,0.119472064
16,0.030878153,-0.98303294,0.03087815653532402,0.058578063,0.06693555,-0.95278174,0.0669355361938313,0.15302764
17,0.031010218,-0.98218167,0.03101021925418589,0.06268688,0.05814467,-0.96346575,0.05814467875698303,0.14849685
