epoch,cos_distmet_2D_angular,cosine_proximity,loss,mse,val_cos_distmet_2D_angular,val_cosine_proximity,val_loss,val_mse
0,0.14647819,0.8072056,0.14647820719003438,0.24364704,0.08775029,0.91645813,0.0877502939256294,0.2733152
1,0.07232919,0.9302013,0.07232920269741946,0.14104286,0.06833048,0.9379695,0.06833048899682298,0.24141423
2,0.04587291,0.9657594,0.04587292759771819,0.11213423,0.06643019,0.94116753,0.06643017840933244,0.24195059
3,0.04920561,0.9594804,0.049205598930777174,0.100166425,0.060294196,0.95832896,0.060294182743718755,0.18212955
4,0.04154201,0.9696012,0.041542034294550764,0.08523017,0.04720203,0.97095305,0.04720202997142886,0.16590859
5,0.032983914,0.97923046,0.03298389696808452,0.084724024,0.04786354,0.966839,0.04786353860208854,0.18695879
6,0.031588882,0.98021495,0.03158888457605906,0.09120304,0.06079918,0.9488267,0.06079918494644806,0.19292803
7,0.037122633,0.9720071,0.03712263679289005,0.0812839,0.07771244,0.9177832,0.077712431960881,0.13447005
8,0.032885365,0.978462,0.032885351761448044,0.08054959,0.037739556,0.9798131,0.03773955581671416,0.16272606
9,0.047785226,0.9594038,0.047785226939495336,0.08147485,0.04784663,0.9667053,0.04784663282692514,0.13743986
10,0.03089138,0.9814067,0.03089137085029862,0.06571861,0.045043208,0.9694138,0.04504321001378107,0.12966979
11,0.027587473,0.9841504,0.02758747320924201,0.068820365,0.039844096,0.97803056,0.0398440987341852,0.13765849
12,0.028783452,0.98319143,0.028783442983515557,0.067609474,0.038193088,0.98136425,0.03819308053543702,0.1452675
13,0.02522589,0.98673624,0.02522588404948386,0.06846281,0.04132468,0.97247124,0.04132466807307366,0.15793207
14,0.026821284,0.98449594,0.02682128553007034,0.07312966,0.05520085,0.95756155,0.05520085019707189,0.14054619
15,0.03633585,0.97354084,0.03633585075196126,0.061790254,0.043181125,0.97294474,0.04318111892201936,0.109746866
16,0.02599344,0.98549056,0.02599343685918679,0.061573055,0.04226113,0.9732575,0.04226113141339339,0.1469077
17,0.034208618,0.9741862,0.03420860363001421,0.0716625,0.051201507,0.9623751,0.051201516549283094,0.13980544
18,0.030340826,0.9808006,0.030340820726485297,0.060275257,0.039649956,0.9761055,0.03964994966125292,0.12253918
